Player name,position,Games,At-bat,Runs,Hits,Double (2B),third baseman,home run,run batted in,a walk,Strikeouts,stolen base ,Win,Loss,Earned run Average,Games played,Games Started,Complete Game
A Kaline,RF,2834,10116,1622,3007,498,75,399,1583,1277,1020,137,194,112,3.51,430,410,68
A Galarraga,1B,2257,8096,1195,2333,444,32,399,1425,583,2003,128,300,141,3.06,616,457,298
D Murphy,CF,2180,7960,1197,2111,350,39,398,1266,986,1748,161,326,194,2.35,623,529,410
J Carter,LF,2189,8422,1170,2184,432,53,396,1445,527,1387,231,288,231,3.34,760,700,162
J Edmonds,CF,2010,6858,1251,1949,437,25,393,1199,998,1729,67,145,139,4.01,407,405,23
G Nettles,3B,2700,8986,1193,2225,328,28,390,1314,1088,1209,32,268,152,2.86,558,521,211
J Bench,C,2158,7658,1091,2048,381,24,389,1376,891,1278,68,152,126,3.63,388,377,15
A Ramirez,3B,2194,8136,1098,2303,495,24,386,1417,633,1238,29,239,157,4.13,660,489,54
D Evans,RF,2606,8996,1470,2446,483,73,385,1384,1391,1697,78,373,208,2.56,696,600,437
H Baines,DH,2830,9908,1299,2866,488,49,384,1628,1062,1441,34,209,161,3.27,502,473,143
L Walker,RF,1988,6907,1355,2160,471,62,383,1311,913,1231,230,174,170,3.63,529,404,132
F Howard,LF,1895,6488,864,1774,245,35,382,1119,782,1460,8,200,180,4.41,627,463,33
R Howard,1B,1572,5707,848,1475,277,21,382,1194,709,1843,12,245,193,3.7,692,562,122
J Rice,LF,2089,8225,1249,2452,373,79,382,1451,670,1423,58,195,117,3.38,457,390,28
A Belle,LF,1539,5853,974,1726,389,21,381,1239,683,961,88,203,105,3.38,416,390,67
G Stanton,RF,1437,5249,817,1386,272,11,380,974,698,1697,42,169,152,4.11,451,443,22
O Cepeda,1B,2124,7927,1131,2351,417,27,379,1365,588,1169,142,211,222,3.98,600,483,246
A Perez,1B,2777,9778,1272,2732,505,79,379,1652,925,1867,49,222,133,3.49,482,479,26
M Williams,3B,1866,7000,997,1878,338,35,378,1218,469,1363,53,157,82,3.32,400,322,17
N Cash,1B,2089,6705,1046,1820,241,41,377,1103,1043,1091,43,132,133,4.35,579,351,11
J Kent,2B,2298,8498,1320,2461,560,47,377,1518,801,1522,94,173,153,3.54,453,424,113
C Fisk,C,2499,8756,1276,2356,421,47,376,1330,849,1386,128,114,75,3.06,324,244,16
R Colavito,RF,1841,6503,971,1730,283,21,374,1159,951,880,19,134,122,3.44,355,352,16
G Hodges,1B,2072,7030,1105,1921,295,48,370,1274,943,1137,63,197,140,3.24,442,349,216
T Helton,1B,2247,7962,1401,2519,592,37,369,1406,1335,1175,37,214,191,3.37,557,529,102
R Kiner,LF,1472,5205,971,1451,216,39,369,1015,1011,749,22,204,150,3.48,510,466,68
L Berkman,1B,1879,6491,1146,1905,422,30,366,1234,1201,1300,86,153,131,3.75,391,380,16
J DiMaggio,CF,1736,6821,1390,2214,389,131,361,1537,790,369,30,224,166,3.26,500,476,181
G Gaetti,3B,2507,8951,1130,2280,443,39,360,1341,634,1602,96,155,139,3.97,403,387,21
J Mize,1B,1883,6443,1118,2011,367,83,359,1337,856,524,28,211,169,3.27,585,432,193
Y Berra,C,2120,7555,1175,2150,321,49,358,1430,704,414,30,169,137,3.74,414,402,34
C Lee,LF,2099,7983,1125,2273,469,19,358,1363,655,984,125,139,78,3.2,360,284,15
G Vaughn,LF,1731,6103,1017,1475,284,23,355,1072,865,1513,121,273,225,3.8,624,538,335
L Gonzalez,LF,2591,9157,1412,2591,596,68,354,1439,1155,1218,128,328,178,2.81,531,518,485
L May,1B,2071,7609,959,2031,340,31,354,1244,487,1570,39,151,129,4.11,425,386,21
T Hunter,CF,2372,8857,1296,2452,498,39,353,1391,661,1741,195,178,177,4.44,519,474,50
R Braun,LF,1766,6622,1080,1963,408,49,352,1154,586,1363,216,162,132,3.8,419,382,16
E Burks,CF,2000,7232,1253,2107,402,63,352,1206,793,1340,181,211,146,3.47,506,462,61
D Allen,1B,1749,6332,1099,1848,320,79,351,1119,894,1556,133,219,156,4.27,762,474,36
M Trout,CF,1410,5105,1055,1547,298,51,351,898,922,1355,204,236,106,2.75,498,438,156
C Davis,OF,2436,8673,1240,2380,424,30,350,1372,1194,1698,142,142,157,4.83,430,397,47
G Foster,LF,1977,7023,986,1925,307,47,348,1239,666,1419,51,246,174,3.07,463,427,393
J Bautista,RF,1798,6051,1022,1496,312,17,344,975,1032,1394,70,171,182,3.84,716,371,53
C Granderson,CF,2057,7236,1217,1800,346,95,344,937,924,1916,153,233,152,2.96,414,396,351
J Votto,1B,1991,7044,1145,2093,453,22,342,1106,1338,1578,80,193,183,3.54,569,461,163
R Santo,3B,2243,8143,1138,2254,365,67,342,1331,1109,1343,35,144,94,3.76,350,332,33
J Clark,RF,1994,6847,1118,1826,332,39,340,1180,1262,1442,77,116,101,4.03,323,322,3
B Powell,1B,2042,6681,889,1776,270,11,339,1187,1001,1226,20,104,118,3.68,342,331,15
T Martinez,1B,2023,7111,1009,1925,365,21,339,1271,780,1069,27,145,113,3.92,379,359,83
D Parker,RF,2466,9358,1272,2712,526,75,339,1493,683,1537,154,113,72,3.33,257,252,18
D Baylor,DH,2292,8198,1236,2135,366,28,338,1276,805,1069,285,130,113,4.14,356,331,5
J Adcock,1B,1959,6606,823,1832,295,35,336,1122,594,1059,20,171,139,4.08,457,392,72
R Can?,2B,2267,8773,1262,2639,572,33,335,1306,620,1214,51,253,154,2.98,535,432,260
D Strawberry,OF,1583,5418,898,1401,256,38,335,1000,816,1352,221,194,138,3.57,424,362,200
B Bonds,RF,1849,7043,1258,1886,302,66,332,1024,914,1757,461,177,122,3.33,600,356,54
M Alou,LF,1942,7037,1109,2134,421,39,332,1287,737,894,106,176,137,3.44,443,412,103
H Greenberg,1B,1394,5193,1051,1628,379,71,331,1276,852,844,58,133,119,4.12,359,331,28
E Longoria,3B,1915,7102,993,1884,423,26,331,1131,707,1625,58,161,176,4.39,450,440,79
D Lee,1B,1942,6962,1081,1959,432,30,331,1078,874,1622,104,264,232,3.89,538,503,448
S Green,RF,1951,7082,1129,2003,445,35,328,1070,744,1315,162,129,124,4.67,392,343,31
M Vaughn,1B,1512,5532,861,1620,270,10,328,1064,725,1429,30,133,100,4.13,354,328,4
W Horton,LF,2028,7298,873,1993,284,40,325,1163,620,1313,20,249,205,2.63,513,471,388
J Upton,LF,1845,6721,1058,1754,350,38,325,1003,785,1971,151,188,181,3.69,506,455,138
J Dye,RF,1763,6487,984,1779,363,25,325,1072,597,1308,46,121,124,4.11,720,242,17
G Carter,C,2296,7971,1025,2092,371,31,324,1225,848,997,39,123,107,3.22,405,317,73
L Parrish,C,1988,7067,856,1782,305,27,324,1070,612,1527,28,132,91,3.66,354,302,10
R Gant,LF,1832,6449,1080,1651,302,50,321,1008,770,1411,243,185,130,3.14,453,379,172
V Castilla,3B,1854,6822,902,1884,349,28,320,1105,423,1069,33,135,132,3.43,501,308,88
S Finley,CF,2583,9397,1443,2548,449,124,304,1167,844,1299,320,130,99,2.86,344,295,98
R Hornsby,2B,2259,8173,1579,2930,541,169,301,1584,1038,679,135,156,108,4.15,376,357,12
